| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| پلان | پەیڤێن گشتی | هزر و بەرنامەیەکە تە بۆ پاشەڕۆژێ داناینە دا کو کارەکێ سەرکەڤتی بکەی. |
| پیلان | پەیڤێن گشتی | بەرنامەیەکێ ڤەشارتییە دهێتە دانان دا کو زیانێ ب کەسەکی بگەهینن. |
| پلایس | ئامیرە | ئامیرەکێ ئاسنی یە د دەستێ هۆستایان دا بۆ بڕین و بادانا تێلان. |
| پەرچقاندن | کار (چاوگ) | دەمێ تو تشتەکی ل بن پێیێن خوە پان دکەی. |
| پلڤان | وەسف (هەڤالناڤ) | ئەز ئەو کەسەم یێ کو چ بەرەک یان تیرەکێ بهاڤێژم، ڕاست ل ئارمانجێ ددەم . |
| پویچ | وەسف (هەڤالناڤ) | تشتەکێ کو چ مفا و بهایێ خوە نینە. |
| پویشی | جلوبەرگ | ئەز پشکەک ژ گیایێ هشکبووی یان کایێمە. |
| پەشێمان | وەسف (هەڤالناڤ) | دەمێ تو کارەکێ خەلەت دکەی و پاشی خەمێ دخۆی کو تە بۆچی کرییە. |
| پەشێمانی | هەست | ئەو هەستێ نەخوەشە دەمێ مرۆڤ دزانیت کو خەلەتییەک یا کرییە. |
| پەحتن | کار (چاوگ) | دەمێ تو نانی ل سەر سێلێ یان تەنیرێ چێدکەی. |
| پەرتووک | کەلوپەل |من گەلەک پەڕ یێن ھەین, لێ ئەز نە باڵندەمە. |
| پەرچقین | کار (چاوگ) | دەمێ تشتەک دکەڤیتە بن بارەکێ گران یان پێیەکێ و پان دبیت. |
| پەڕ | گیانەوەر | تشتەکە کو ل سەر لەشێ بالندەیانە. |
| پەڕۆک | کەلوپەل | پارچەیەکا بچویکە ژ قوماشی بۆ پاقژکرنا تشتان یان گرتنا برینان. |
| پەڕەشۆت | کەلوپەل | دەمێ مرۆڤ خوە ژ فرۆکێ دهاڤێژیت، ڤەدبیت. |
| پەڕتین | کار (چاوگ) | دەمێ تشتەک ژێک ددڕیت یان پەرێن تشتەکی ژێ دهێنە کرن. |
| پەرستگەھ | جھ | ئەو جهە یێ کو خەلک قەستا وێرێ دکەن بۆ نڤێژ و پەرستنا خودایێ خوە. |
| پەرستن | کار (چاوگ) | دەمێ مرۆڤ نڤێژ و دوعایان دکەت بۆ خودایێ مەزن. |
| پەرسیڤ | نەخۆشی | نەخۆشییەکە زڤستانان گەلەک یا بەلاڤە. |
| پەروەر | وەسف (هەڤالناڤ) | ئەو کەسێ کو حەز ژ پاراستن و خودانکرنا تشتەکی دکەت. |
| پەریشان | وەسف (هەڤالناڤ) | دەمێ کەسەک گەلەک یێ ب خەم و نەخۆش بیت. |
| پەز | گیانەوەر | گیانەوەرەکێ مالی یە، خەلک بو گۆشت و شیر و هرییا وێ بخودان دکەن. |
| پەژراندن | کار (چاوگ) | دەمێ تو ڕازی دبی ب تشتەکی یان داخوازییەکێ قەبیل دکەی. |
| پەسن | پەیڤێن گشتی | دەمێ تو بەحسێ باشییێن کەسەکی یان تشتەکی دکەی و مەزن دکەی. |
| پەقاندن | کار (چاوگ) | دەمێ تو پفدانکەکێ یان تشتەکێ پفدای ب دەرزیکێ دتەقینی. |
| پەقیشک | پەیڤێن گشتی | تەپکەکا بچویک یا ئاڤێ یە کو ل سەر پیستی یان تشتێن تەڕ پەیدا دبیت . |
| پەقین | کار (چاوگ) | دەمێ تشتەک ژ پڕبوونێ یان ژ گەرمێ ژنیشکەکێ ڤە ب دەنگەکێ بلند دپەقیت. |
| پەلچم | سرۆشت | بەشێ کەسکێ دارانە، ل بهارێ شین دبن و ل پاییزێ وەردەرن و زەر دبن. |
| پەلخین | کار (چاوگ) | دەمێ تشتەک گەلەک نەرمە و دکەڤیتە بن پێیان و تێک دچیت. |
| پەمبی | ڕووەک | ڕووەکەکێ سروشتی یە ژ ماددەیەکا نەرم و سپی پێکهاتییە. |
| پەیالە | کەلوپەل | ئامانەکا بچویک و جوانە بۆ ڤەخوارنا چایێ. |
| پەیت | پەیڤێن گشتی | تشتەکێ موکوم و بهێزە کو ب ساناهی ناهێتە شکاندن و گوهۆڕین. |
| پەیدا | وەسف (هەڤالناڤ) | دەمێ تشتەکێ بەرزە دبینیتەڤە یان تشتەکێ نووی چێدبیت و ل بەر چاڤان دەردکەڤیت. |
| پەیڤ | پەیڤێن گشتی | ژ کۆمکرنا چەند پیتان پێک دهێت و مرۆڤ پێ دئاخڤیت. |
| پەیڤین | کار (چاوگ) | دەمێ مرۆڤ پەیڤان دبیژیت دا کو کەسەک تێبگەهیت. |
| پەیکەر | پەیڤێن گشتی | وێنەیەکێ مرۆڤی یان گیانەوەرەکی یە کو ژ بەر یان ئاسنی هاتییە چێکرن. |
| پیاسە | کار (چاوگ) | دەمێ تو ل ئێڤارییان دچیە دەرڤە بۆ گەڕیانێ و بێهنڤەدانێ ب پێیان. |
| پیت | پێکهاتە | بەشێ هەرە بچویکێ نڤیسینێ یە. |
| پیر | وەسف (هەڤالناڤ) |  کەسێ کو د ژییەکێ مەزن دایە و گەنجاتییا وی بورییە. |
| پیرۆز | وەسف (هەڤالناڤ) | تشتێ گەلەک ب قەدر و بها ل دەف خەلکی. |
| پیرەژن | ناڤێ مرۆڤان | ژنکا ب تەمەن. |
| پیرەمێر | ناڤێ مرۆڤان | زەلامێ ب تەمەن و دانعەمر. |
| پیس | وەسف (هەڤالناڤ) | تشتێ کو تۆزبگریت و پێدڤی ب شویشتنێ هەبیت. |
| پێسیر | ئەندامێ لەشی | بەشەکێ لەشی یە ل سەر سینگێ دایکێ کو زارۆک شیری ژێ ڤەدخۆن. |
| پیڤاز | زەرززەوات | زەرزەواتەکە د ناڤ خوارنێ دا دهێتە  دروست کرن. |
| پیشەکار | پیشە | ئەو کەسەیە یێ کو خوەدی پیشەیەکە و د کارێ خوە دا یێ شارەزا، پسپۆر و بەرهەمئینەرە. |
| پیڤان | کار (چاوگ) | دەمێ تو ب میترێ یان تەرازییێ قەبارە یان کێشا تشتەکی دزانی. |
| پیڤازی | ڕەنگ | ڕەنگەکێ ڤەکرییە دچیتە سەر ڕەنگێ پیڤازێ. |
| پیڤەر | کەلوپەل | ئامیر یان یاسایەکە کو ئەم پێ دزانین تشتەک چەندێ باشە یان چەندێ مەزنە. |
| پێپک | پەیڤێن گشتی | ئاماژەیە بۆ پێ یان بنکەیێن کورسیکێ یان هەر کەلوپەلەکێ دی . |
| پێتڕانک | پەیڤێن گشتی | کەسێ کو خەلک ب کریارێن وی دکەنە کەنی و تڕانێن خوە پێ دکەن. |
| پێچان | کار (چاوگ) | لوولکرنا تشتەکی ب قوماشەکی یان کاغەزەکێ. |
| پیچێبوون | کار (چاوگ) | دەستکەفتن و بجهئینانا کارەکێ ل سەر دەستێ کەسەکی. |
| پێخاس | وەسف (هەڤالناڤ) | ئەو کەسێ کو پێلاڤ د پێیێن وی دا نەبن و ل سەر ئەردی بڕێڤە بچیت. |
| پەیداکرن | کار (چاوگ) | ب واتەیا دیتن، بدەستڤەئینان یان ئافراندنا تشتەکێ نووی دهێت. |
| پێر | دەم | ڕۆژا بەری دوهی. |
| پێڕابوون | کار (چاوگ) | دەستپێکرن و ڕابوون ب کارەکی یان ئەرکەکی. |
| پێرار | دەم | سالا بەری پار. |
| پێزانین | پەیوەندی | ئەو زانیاری و تێگەهشتنا مرۆڤ ل سەر تشتەکی هەی. |
| پێشەنگ | وەسف (هەڤالناڤ) | کەسێ کو د کارەکێ دا یێ ئێکێ بیت و بۆ خەلکێ دی ببیتە نموونە. |
| پێشچاڤ | وەسف (هەڤالناڤ) | تشتێ کو ب ساناهی دهێتە دیتن و یێ دیار و ئاشکرایە. |
| پێشڤەبرن | کار (چاوگ) | دەمێ تو کارەکی یان تشتەکی باشتر دکەی و بەرەڤ پێشڤە دبەی. |
| پێشڤەچوون | کار (چاوگ) | دەمێ بارودۆخ یان کارەک باشتر دبیت. |
| پێشکێش | پەیڤێن گشتی | تشتێ کو وەکی دیاری ددەیە کەسەکی یان نیشان ددەی. |
| پێشنیاز | پەیڤێن گشتی | هزرەک یان پلانەکە کو بۆ کەسەکی دیار دکەی دا کو قەبیل بکەت. |
| پێشھات | پەیڤێن گشتی | ڕوودانەک یان تشتەکێ نوویە کو ژ نیشکەکێ ڤە پەیدا دبیت. |
| پێغەمبەر | ناڤێ مرۆڤان | ئەو کەسێ کو ژ لایێ خودایێ مەزن ڤە هاتییە هنارتن بۆ ڕێنماییا خەلکی. |
| پێڤاژۆ | پەیڤێن گشتی | ڕێزەکارەک یان قۆناغێن کارەکی نە تا کو ب دوماهی دهێت. |
| پێکۆل | پەیڤێن گشتی | دەمێ تو هەول ددەی و خوە د وەستینی بۆ بجهئینانا کارەکی. |
| پێکئینان | کار (چاوگ) | دروستکرن و ئامادەکرنا تشتەکی ژ چەند بەشەکێن جودا. |
| پێکڤەمان | کار (چاوگ) | دەمێ چەند کەسەک یان تشتەک ل گەل ئێك دمینن. |
| پێگوھۆڕک | خێزان | ئەو ژنەیە یا کو برایێ وێ یان بابێ وێ ددەتە شی بەرامبەر خواستنا ژنەکێ . |
| پێگیر | وەسف (هەڤالناڤ) | ئەو کەسێ کو ل سەر سۆز و یاسایان دمینیت. |
| پێلاڤ | جلوبەرگ | دکەنە د پێیان دا دا کو پێیێن مرۆڤی بپارێزن. |
| پێل | پەیڤێن گشتی | لڤینەکا ئاڤێ یە ل دەریایێ یان ڕووباری کو بلند و نزم دبیت. |
| پەحین | پەیڤێن گشتی | لێدانەکە کو ب پێیان دهێتە کرن. |
| پێناسە | پەیڤێن گشتی | ڕاڤەکرن و دیارکرنا واتەیا تشتەکی یان کەسەکی. |
| پێنگاڤ | پەیڤێن گشتی | لڤاندنا پێی یە ل دەمێ ڕێڤەچوونێ، یان قۆناغەکا کارەکی. |
| پێنڤیس | کەلوپەل | ئامرازەکە بۆ نڤیسینێ دهێتە بکارئینان. |
| تا | پەیڤێن گشتی | گەرم و ساڕیا لەشی یە دەمێ مرۆڤ نەخۆش دبیت . |
| تابیت | کەلوپەل | سندوقەکا تایبەتە کو مرۆڤێ مری تێدا دهێتە هەلگرتن بۆ ڤەشارتنێ. |
| تاخ | پێکهاتە | بەشەکە ژ باژێڕی کو چەندین مال و کۆلان تێدا هەنە. |
| تاج | کەلوپەل | تشتەکێ زێڕین و جوانە کو پاشا و شاهژن دکەنە سەرێ خوە. |
| تاری | وەسف (هەڤالناڤ) | دەمێ ڕۆناهی نەمینیت و چاڤ چ نەبینن. |
| تازی | وەسف (هەڤالناڤ) | ئەو کەسێ کو چ جلک د بەر دا نەبن و ڕویس بیت. |
| تازی | پەیڤێن گشتی | رێورەسمێ دانانا سەرەخۆشیێ بۆ مرۆڤەکێ وەغەرکری . |
| تاسک | کەلوپەل | ئامانەکێ بچویکە، ئاڤێ تێ دکەن بۆ شۆیشتنێ، خوارنێ یان ئاڤخوارنێ . |
| تاڤ | سرۆشت | تیشکا ڕۆژێ یە کو ئەردی گەرم و ڕووناک دکەت. |
| تاڤەهەیڤ | سرۆشت | ڕۆناهییا هەیڤێ یە ل دەمێ شەڤێ. |
| تاڤی | سرۆشت | بارانەکا ب هێزە کو ب لەز دهێت و زویکا دڕاوەستیت. |
| تاقەت | پەیڤێن گشتی | ئەو هێز و شیانەنە یێن کو مرۆڤی هەی بۆ کرن و بەرگەگرتنا کاران. |
| تاک | پەیڤێن گشتی | تشتێ ب تنێ کو جووت نەبیت، یان ئێك کەس. |
| تام | هەست | ئەو هەستە یێ کو د دەڤی دا پەیدا دبیت ل دەمێ خوارنێ یان ڤەخوارنێ. |
| تامسار | وەسف (هەڤالناڤ) | کەسێ کو گەلەک یێ سار و بێ هەست بیت د ئاخفتن و سەرەدەریێ دا. |
| تامکرن | کار (چاوگ) | دەمێ تو تشتەکی دخۆی دا بزانی کا شرینە یان سویرە یان ترشە. |
| تامیسک | ئەندامێ لەشی | پرزکەک کو ل سەر لێڤان پەیدا دبیت، پشتی کو مرۆڤ تووشی تایێ دبیت . |
| تاوان | پەیڤێن گشتی | کریارەکا نەدروست یان دژی قانوونێ و ڕەوشتی یە کو سزایێ ل سەر هەیە . |
| تاوانبار | وەسف (هەڤالناڤ) | ئەو کەسێ کو کارەکێ خراب یان تاوانەک کربیت. |
| تایت | ماددە | ماددەیەکە وەکی تۆزێ بۆ شوشتنا جلکان دهێتە بکارئینان. |
| تبل | ئەندامێ لەشی | پێنج دانە د هەر دەستەکی یان پێیەکی دا هەنە. |
| ترار | کەلوپەل | ئامانەکە بۆ ڤەخوارنا ئاڤێ دهێتە بکارئینان . |
| تڕانە | پەیڤێن گشتی | کریارەکە بۆ کەنیێ و یاریپێکرن ب تشتەکی یان کەسەکی دهێتە کرن. |
| تڕۆمبێل | ئامیرە | ئامرازەکێ ڤەگوهاستنێ یە. |
| ترسی | پەیڤێن گشتی | دەمێ نان ب تنێ و بێی چ تشتێن دی یێن خوارنێ دهێتە خوارن . |
| تری | ڕووەک | فێکیەکێ شیرینە کو ب دارێڤە شین دبیت . |
| تزبی | کەلوپەل | ژ چەند دندکەکا پێک هاتییە و د دەستی دا دهێتە لڤاندن. |
| تژی | وەسف (هەڤالناڤ) | دەمێ جهەک یان تشتەک ژ کەسان یان ئاڤێ پڕ دبیت و جهێ ڤالا نامینیت. |
| تف | ئەندامێ لەشی | ئەو ئاڤە یا کو د ناڤ دەڤێ مرۆڤی دا چێدبیت. |
| تفال | خێزان | زاڕۆکێ ساڤا و بچویک . |
| تفکرن | کار (چاوگ) | دەمێ تو ئاڤا دەڤێ خوە دهاڤێژییە دەرڤە. |
| تڤر | زەرزەوات | زەرزەواتەکێ بن ئەردە، ڕەنگێ وێ سۆرە و تاما وێ پچەک یا تیژە. |
| توخم | پەیڤێن گشتی | ڕەگەز یان جۆرێ تشتەکی، وەکی نێر و مێ. |
| تۆڕە | هەست | دەمێ مرۆڤ ژ کەسەکی یان تشتەکی دلگران و عێجز دبیت. |
| تویتن | ڕووەک | ڕووەکەکە گەلەک جاران بۆ جگارە کێشانێ دهێتە بکارئینان. |
| تووڕین | ناڤێ مرۆڤان | ئەو کردارەیە دەمێ کەسەک ژ کەسەکێ دی زیز دبیت، ناڤەکێ کوردی یێ کچان. |
| تۆز | پەیڤێن گشتی | پارچەیێن گەلەک بچویک یێن ئاخێ نە کو د ناڤ هەوای دا بەلاڤ دبن. |
| تۆڤک | چەرەزات | جۆرەکێ چەرەزاتانە و پتر ل دەمێ شەڤبێری و بێهنڤەدانێ دهێتە خوارن . |
| تۆڤ | میوە | دندکێن زەرزەوات و فێقی نە بۆ چاندنێ دهێنە بکارئینان. |
| تۆل | پەیڤێن گشتی | دەمێ کەسەک باجا کارەکێ خراب ب کەسەکێ دی ددەتەڤە. |
| تۆمک | پەیڤێن گشتی | ئەو دان یان تشتێ کو ددەنە مریشک و باڵندەیان . |
| تۆلک | ڕووەک | ڕووەکەکە وەکی کەسکاتیێ د بهارێ دا دهێتە خوارن. |
| تەباخ | ئامیرە | ئامیرەکە ل مەتبەخێ دهێتە بکارئینان بۆ دروستکرنا خوارنێ. |
| تەبقین | کار (چاوگ) | دەمێ تشتەک دکەڤیت و دهێتە پان کرن. |
| تەپانێ | وەرزش | یارییەکا ب تەپکەکێ دهێتە کرن. |
| تەپکانێ | وەرزش | یاریکرن ب تەپکێ بۆ دەمبووراندنێ. |
| تەپک | کەلوپەل | یارییەکا گڕۆڤڕە کو زارۆک پێ یاریێ دکەن. |
